	municipio	nome_escola	endereco_escola	numero_endereco	cep	bairro	longitude	latitude
0	sao paulo	ayres de moura professor	rua artur orlando	907	5118000	vila jaguara	-46,74909973	-23,5121994
1	sao paulo	gaviao peixoto brigadeiro	mogeiro	710	5208230	vila perus	-46,75939941	-23,40469933
2	sao paulo	joao solimeo	do sabao	1497	2806000	jardim maristela	-46,70082092	-23,48127937
3	sao paulo	walfredo arantes caldas professor	deputado cantidio sampaio	1701	2860001	vila souza	-46,6795311	-23,46417999
4	sao paulo	sebastiao de oliveira gusmao professor	rua francisco giron	SN	5267000	morro doce	-46,79224851	-23,43794952
5	sao paulo	suzana de campos dona	antonio maia	691	5204110	vila perus	-46,75506973	-23,40682983
6	sao paulo	julio de faria e souza professor	pompeu pequeno de souza brasil	89	2881100	vila francos	-46,67404543	-23,4676003
7	sao paulo	julio cesar de oliveira professor	alberto veiga	99	5172270	vila pirituba	-46,7458992	-23,48139954
8	sao paulo	renato de arruda penteado professor	floriano da costa barroso	10	2855220	jardim carombe	-46,70204926	-23,45809937
9	sao paulo	joao boemer jardim professor	cristovao santiago	50	2871040	jardim ondina	-46,67359924	-23,46120071
10	sao paulo	francisco faria neto professor	silverio de castro sousa	102	2982000	jardim sydney	-46,71620178	-23,45070076
11	sao paulo	jose altenfelder silva professor	carlos alberto vanzolini	397	5103060	vila dos remedios	-46,75196764	-23,51357366
12	sao paulo	mariano de oliveira professor	rua almirante isaias de noronha	13	2919100	vila pereira barreto	-46,71562958	-23,49102974
13	sao paulo	silvio xavier antunes professor	jose da silva martha	150	2913100	piqueri	-46,71319962	-23,50185966
14	sao paulo	octavio monteiro de castro professor	itaquirai	1	5132110	vila mangalot	-46,74431992	-23,50489998
15	sao paulo	pio telles peixoto professor	artur orlando	985	5118000	vila jaguara	-46,74881744	-23,51172829
16	sao paulo	zenaide vilalva de araujo professora	belo jardim	674	5159200	jardim mutinga	-46,7517443	-23,4858315
17	sao paulo	antonio candido correa guimaraes filho professor	mutinga	5071	5110000	jardim santo elias	-46,75820923	-23,50484085
18	sao paulo	agenor couto de magalhaes doutor	guilherme mankel	99	5176000	vila clarice	-46,74649811	-23,47100067
19	sao paulo	alipio de barros professor	avenida comendador feiz zarzur	SN	2942000	jardim cidade pirituba	-46,7188	-23,4796
20	sao paulo	antonio francisco redondo professor	evandro danton ferreira gandra	148	5131100	vila mangalot	-46,74206161	-23,49681091
21	sao paulo	candido goncalves gomide professor	avelino zanetti	50	2945100	jardim cidade pirituba	-46,72731018	-23,48432922
22	sao paulo	chiquinha rodrigues	caiape	SN	2867000	vila penteado	-46,68355179	-23,47125053
23	sao paulo	isabel vieira de serpa e paiva professora	jerimanduba	561	5181000	jaragua	-46,74621559	-23,4551737
24	sao paulo	clodomiro carneiro	manoel de souza azevedo	364	2809040	sitio morro grande	-46,70299911	-23,47159958
25	sao paulo	ermano marchetti	pedro marigliani	192	5141010	chacara inglesa	-46,729599	-23,49329948
26	sao paulo	galdino lopes chagas professor	sabao	1547	2806000	jardim maristela	-46,69749832	-23,46829987
27	sao paulo	humberto de souza mello general	avenida deputado cantidio sampaio	6803	2860001	parada de taipas	-46,717659	-23,43593025
28	sao paulo	dalila de andrade costa professora	arroio do meio	SN	2878120	jardim vista alegre	-46,68560028	-23,4538002
29	sao paulo	benedito tolosa professor	praca dirceu de lima	617	2515050	casa verde	-46,65769958	-23,51063919
30	sao paulo	ary barroso	rua santa eudoxia	630	2533010	parque peruche	-46,6555318	-23,4978625
31	sao paulo	pedro monteiro do amaral capitao	rua nursia	412	2524020	jardim sao bento	-46,65063095	-23,50268936
32	sao paulo	manuel da nobrega padre	rua santa prisca	122	2518010	jardim laranjeiras	-46,66328812	-23,50877953
33	sao paulo	manoel da nobrega padre	itaberaba	145	2734000	nossa senhora do o	-46,69787979	-23,49990082
34	sao paulo	matilde macedo soares	jose soriano de sousa	30	2555050	casa verde alta	-46,66732025	-23,49567032
35	sao paulo	pasquale peccicacco	nazario pagano	225	2961030	jardim monjolo	-46,69765091	-23,49217987
36	sao paulo	antonio jose leite prof	dez de maio	271	2615100	vila amelia	-46,65530014	-23,47050095
37	sao paulo	antoine de saint exupery	rua antonio ribeiro de morais	184	2751000	vila carbone	-46,6813154	-23,4914963
38	sao paulo	joaquim luiz de brito professor	rua santa lucia filippini	65	2737100	itaberaba	-46,6907	-23,4886
39	sao paulo	marques de tamandare almirante	jacarecopaiba	33	2965170	vila marina	-46,70240021	-23,4843998
40	sao paulo	joaquim silvado doutor	rua monsenhor manoel gomes	306	2975120	vila zat	-46,70999908	-23,47990036
41	sao paulo	republica do chile	maracaia	204	2612020	vila nova cachoeirinha	-46,66342163	-23,47013092
42	sao paulo	angelina madureira professora	rua vicente ferreira leite	489	2723000	vila siqueira	-46,6806536	-23,4985927
43	sao paulo	taunay visconde de	avenida celestino bourroul	304	2710000	limao	-46,67290115	-23,51091957
44	sao paulo	augusto ribeiro de carvalho professor	rua professor joao machado	511	2927000	nossa senhora do o	-46,70286942	-23,4980793
45	sao paulo	augusto meirelles reis filho professor	rua padre joao gualberto	311	2537000	imirim	-46,65129089	-23,49152946
46	sao paulo	mathias aires	moinho velho	355	2929000	moinho velho	-46,707901	-23,49419975
47	sao paulo	luiz gonzaga righini professor	avenida deputado emilio carlos	900	2720100	limao	-46,67613983	-23,49702072
48	sao paulo	mario teixeira mariano professor	rua dom antonio de almeida lustosa	94	2756030	jardim primavera zona norte	-46,67782974	-23,48488045
49	sao paulo	jose carlos dias professor	rua vichy	488	2522100	vila baruel	-46,66022873	-23,50438881
50	sao paulo	colombo de almeida professor	rua graciano altieri	114	2545060	casa verde alta	-46,66149902	-23,4939003
51	sao paulo	tarcisio alvares lobo	rua estela borges morato	500	2722000	vila siqueira	-46,68330002	-23,50270081
52	sao paulo	joaquim nabuco	rua joaquim afonso de souza	355	2543000	vila celeste	-46,66577911	-23,48856926
53	sao paulo	jacomo stavale professor	manuel madruga	205	2960020	moinho velho	-46,69970322	-23,49601555
54	sao paulo	nossa senhora do retiro	rua  doutor  pedro mustre portugal	265	2952080	vila renato zona norte	-46,71965027	-23,47281075
55	sao paulo	dulce ferreira boarin professora	rua doutor fleury silveira	295	2563010	vila santa maria	-46,67020035	-23,48973083
56	sao paulo	plinio damasco penna professor	rua general ulhoa cintra	37	2759030	vila bancaria munhoz	-46,68378067	-23,48321915
57	sao paulo	paulo setubal	avenida deputado emilio carlos	1980	2720200	limao	-46,67535019	-23,48938942
58	sao paulo	tito prates da fonseca	mendonca junior	611	2610010	vila dos andrades	-46,66410065	-23,4769001
59	sao paulo	regente feijo	antonio de couros	SN	2726000	vila palmeiras	-46,6899	-23,4972
60	sao paulo	antonio emilio souza penna professor	carolina maria do carmo	30	2729080	vila albertina	-46,69260025	-23,50379944
61	sao paulo	augusto de macedo costa doutor	conceicao de jacarei	8	2805140	vila cruz das almas	-46,69689941	-23,48027992
62	sao paulo	pio xii	otavio dominguito	50	2912040	piqueri	-46,7094157	-23,5058535
63	sao paulo	frontino guimaraes	rua paulo goncalves	55	2403020	santana	-46,62776947	-23,49644089
64	sao paulo	romulo pero professor	rua copacabana	243	2461000	santa teresinha	-46,63784027	-23,49398041
65	sao paulo	paulo egydio de oliveira carvalho senador	araritaguaba	1264	2122011	vila maria	-46,58198166	-23,51498985
66	sao paulo	toledo barbosa	rua maria candida	293	2071010	vila guilherme	-46,61178576	-23,50193135
67	sao paulo	rita bicudo pereira profa	peri ronchetti	494	2633000	jardim peri	-46,65100098	-23,46190071
68	sao paulo	horacio lafer ministro	dias da silva	1464	2114002	vila maria	-46,58465958	-23,51390076
69	sao paulo	narbal fontes professora	avenida conceicao	806	2072000	carandiru	-46,605751	-23,50029
70	sao paulo	octavio mendes doutor	rua voluntarios da patria	3422	2402300	santana	-46,62620163	-23,48914909
71	sao paulo	paul hugon prof	jose de almeida botelho general	196	2422090	parque mandaqui	-46,63539886	-23,47109985
72	sao paulo	maria montessori	conceicao	2288	2072002	vila paiva	-46,59312826	-23,50017284
73	sao paulo	florinda cardoso professora	itauna	748	2111031	vila maria	-46,59052627	-23,51597168
74	sao paulo	afranio peixoto	rua maria candida	1936	2071013	vila guilherme	-46,5969696	-23,50844002
75	sao paulo	visconde de inhauma almirante	guaca	1382	2435001	lauzane paulista	-46,63349915	-23,47669983
76	sao paulo	anesia sincora professora	rua jose bernardo pinto	758	2055001	vila guilherme	-46,60467911	-23,51567078
77	sao paulo	herois da feb	rua soldado benedito eliseu dos santos	SN	2177020	parque novo mundo	-46,56898117	-23,51194954
78	sao paulo	imperatriz leopoldina	togo	571	2124050	jardim japao	-46,57794952	-23,5053997
79	sao paulo	raquel assis barreiros profa	penha brasil general	1255	2673000	vila nova cachoeirinha	-46,6683	-23,4641
